id,name,path,fullpath,parentgroup
1,"mauricio.bedoya",mauricio.bedoya,https://gitlab-vault.eastus2.cloudapp.azure.com/mauricio.bedoya,
1,"graphql-devs",mauricio.bedoya/graphql-devs,https://gitlab-vault.eastus2.cloudapp.azure.com/mauricio.bedoya/graphql-devs,mauricio.bedoya
2,"graphql-architects",mauricio.bedoya/graphql-architects,https://gitlab-vault.eastus2.cloudapp.azure.com/mauricio.bedoya/graphql-architects,mauricio.bedoya
